Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
51       1.01085396e-10   -8.00000000e-01   -6.59903059e-01   -5.48656585e-02    1.00000000e+00    0.00000000e+00   -5.48656585e-02    1.40096941e-04   -1.00000000e-03   -5.48656585e-05
52       1.01106385e-10   -8.00000000e-01   -6.77888390e-01   -5.48191287e-02    1.00000000e+00    0.00000000e+00   -5.48191287e-02    1.22111610e-04   -1.00000000e-03   -5.48191287e-05
53       1.01148363e-10   -8.00000000e-01   -7.07350095e-01   -5.47261278e-02    1.00000000e+00    0.00000000e+00   -5.47261278e-02    9.26499054e-05   -1.00000000e-03   -5.47261278e-05
54       1.01190342e-10   -8.00000000e-01   -7.29703598e-01   -5.46332049e-02    1.00000000e+00    0.00000000e+00   -5.46332049e-02    7.02964020e-05   -1.00000000e-03   -5.46332049e-05
55       1.01232320e-10   -8.00000000e-01   -7.46663890e-01   -5.45403601e-02    1.00000000e+00    0.00000000e+00   -5.45403601e-02    5.33361097e-05   -1.00000000e-03   -5.45403601e-05
56       1.01274298e-10   -8.00000000e-01   -7.59532187e-01   -5.44475931e-02    1.00000000e+00    0.00000000e+00   -5.44475931e-02    4.04678129e-05   -1.00000000e-03   -5.44475931e-05
57       1.01316277e-10   -8.00000000e-01   -7.69295761e-01   -5.43549040e-02    1.00000000e+00    0.00000000e+00   -5.43549040e-02    3.07042393e-05   -1.00000000e-03   -5.43549040e-05
58       1.01400233e-10   -8.00000000e-01   -7.82516706e-01   -5.41697590e-02    1.00000000e+00    0.00000000e+00   -5.41697590e-02    1.74832938e-05   -1.00000000e-03   -5.41697590e-05
59       1.01568146e-10   -8.00000000e-01   -7.94905593e-01   -5.38004001e-02    1.00000000e+00    0.00000000e+00   -5.38004001e-02    5.09440679e-06   -1.00000000e-03   -5.38004001e-05
60       1.01736060e-10   -8.00000000e-01   -7.98515427e-01   -5.34322796e-02    1.00000000e+00    0.00000000e+00   -5.34322796e-02    1.48457311e-06   -1.00000000e-03   -5.34322796e-05
61       1.01903973e-10   -8.00000000e-01   -7.99567249e-01   -5.30653932e-02    1.00000000e+00    0.00000000e+00   -5.30653932e-02    4.32751496e-07   -1.00000000e-03   -5.30653932e-05
62       1.02071886e-10   -8.00000000e-01   -7.99873725e-01   -5.26997369e-02    1.00000000e+00    0.00000000e+00   -5.26997369e-02    1.26275128e-07   -1.00000000e-03   -5.26997369e-05
63       1.02407712e-10   -8.00000000e-01   -8.00005600e-01   -5.19720958e-02    1.00000000e+00    0.00000000e+00   -5.19720958e-02   -5.60011762e-09   -1.00000000e-03   -5.19720958e-05
