Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
47       4.57500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
48       4.67500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
49       4.77500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
50       4.87500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
51       4.97500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
52       5.00000000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
53       5.00062500e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    6.25000000e-03   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
54       5.00187500e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    1.87500000e-02   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
55       5.00437500e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    4.37500000e-02   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
56       5.00937500e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    9.37500000e-02   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
57       5.01937500e-10    0.00000000e+00    0.00000000e+00   -5.59999997e-02    1.00000000e+00    1.93750000e-01   -5.59999997e-02    0.00000000e+00   -9.99999999e-04   -5.59999997e-05
58       5.02650332e-10    0.00000000e+00    0.00000000e+00   -5.59486411e-02    1.00000000e+00    2.65033223e-01   -5.59486411e-02    0.00000000e+00   -9.99082881e-04   -5.59486411e-05
